id,type,xstart,xend,ystart,yend,nodes
"1",secondary,7.5884010709,7.5961095570,51.9705407000,51.9700314000,"1"
"2",secondary,7.5965803166,7.6025853324,51.9699915000,51.9690307000,"2"
"3",primary,7.6026079806,7.6017699962,51.9690228000,51.9653544000,"3"
"4",primary,7.6017738209,7.6026580456,51.9653625000,51.9596984000,"4"
"5",primary,7.6026580456,7.6029190308,51.9597325000,51.9568111000,"5"
"6",primary,7.6029190308,7.6028574030,51.9568168000,51.9552825000,"6"
"7",primary,7.6028574030,7.6063270498,51.9552825000,51.9495282000,"7"
"8",smallroad,7.6063147243,7.6040098434,51.9495301000,51.9484323000,"8"
"9",smallroad,7.6040098434,7.6009531030,51.9484323000,51.9449337000,"9"
"10",smallroad,7.6009531030,7.5976745024,51.9449299000,51.9426885000,"10"
"11",smallroad,7.5976683397,7.5937919491,51.9426885000,51.9404052000,"11"
"12",smallroad,7.5937919491,7.5919800909,51.9404052000,51.9395504000,"12"
"13",smallroad,7.5919739281,7.5959304348,51.9395504000,51.9370010000,"13"
"15",smallroad,7.5959365976,7.5964974109,51.9369972000,51.9366058000,"15"
"14",smallroad,7.5964912481,7.5971136892,51.9366058000,51.9362069000,"14"
"16",smallroad,7.5971102559,7.5978612382,51.9362101000,51.9358725000,"16"
"17",smallroad,7.5978612382,7.5988098475,51.9358725000,51.9354651000,"17"
"18",smallroad,7.5988154940,7.6002779333,51.9354651000,51.9347689000,"18"
"19",secondary,7.6002779333,7.6019210601,51.9347689000,51.9353398000,"19"
"20",trunk,7.6019323531,7.6075957763,51.9353363000,51.9351832000,"20"
"21",trunk,7.6075844834,7.6211715005,51.9351832000,51.9359353000,"21"
"22",trunk,7.6356695076,7.6439955509,51.9384891000,51.9420823000,"22"
"23",trunk,7.6439955509,7.6469859498,51.9420774000,51.9435479000,"23"
"24",secondary,7.6469859498,7.6484780790,51.9435442000,51.9423480000,"24"
"25",secondary,7.6484780790,7.6498351183,51.9423480000,51.9413336000,"25"
"26",secondary,7.6498289779,7.6532921913,51.9413184000,51.9387746000,"26"
"27",seondary,7.6533044722,7.6567554048,51.9387670000,51.9365107000,"27"
"28",smallroad,7.6567676857,7.6552939778,51.9364880000,51.9356778000,"28"
"29",secondary,7.5940982591,7.5965145259,51.9701481000,51.9698502000,"29"
"30",secondaryR,7.5964899642,7.6025690091,51.9698502000,51.9688969000,"30"
"31",primaryR,7.6025690091,7.6015496945,51.9688969000,51.9652423000,"31"
"32",primaryR,7.6015527647,7.6017707506,51.9652489000,51.9636154000,"32"
"33",primaryR,7.6017830315,7.6024462001,51.9635814000,51.9596312000,"33"
"34",primaryR,7.6024462001,7.6027900652,51.9596464000,51.9568084000,"34"
"35",primaryR,7.6027900652,7.6061795933,51.9568084000,51.9494440000,"35"
"36",secondaryR,7.6008097703,7.6017584697,51.9350872000,51.9352159000,"36"
"37",trunkR,7.6017461888,7.6025444473,51.9352197000,51.9350285000,"37"
"38",trunkR,7.6025659388,7.6078651467,51.9350266000,51.9350020000,"38"
"39",trunkR,7.6078651467,7.6083993658,51.9350020000,51.9349282000,"39"
"40",trunkR,7.6083901551,7.6213986971,51.9349301000,51.9358595000,"40"
"41",trunkR,7.6213864162,7.6250338432,51.9358558000,51.9365486000,"41"
"42",trunkR,7.6250342343,7.6332497645,51.9365486000,51.9379039000,"42"
"43",trunkR,7.6332252027,7.6346129442,51.9379076000,51.9381310000,"43"
"44",trunkR,7.6346313656,7.6357059442,51.9381310000,51.9383884000,"44"
"45",trunkR,7.6357182251,7.6389788038,51.9383960000,51.9395714000,"45"
"46",trunkR,7.6389419611,7.6437683543,51.9395601000,51.9417783000,"46"
"47",trunk,7.6440016914,7.6472254273,51.9420774000,51.9435196000,"47"
"48",trunkR,7.6437929161,7.6473605172,51.9417935000,51.9435006000,"48"
"49",trunkR,7.6438051970,7.6469061239,51.9417745000,51.9431335000,"49"
"50",trunkR,7.6469184048,7.6475385902,51.9431335000,51.9430918000,"50"
"51",secondary,7.6475385902,7.6496877475,51.9430937000,51.9412787000,"51"
"52",seondaryR,7.6496877475,7.6515728655,51.9412824000,51.9400181000,"52"
"53",secondaryR,7.6515667250,7.6531878037,51.9400181000,51.9387197000,"53"
"54",secondaryR,7.6531816632,7.6566448767,51.9387234000,51.9364255000,"54"
"55",trunk,7.6211715005,7.6356691015,51.9359315000,51.9384887000,"55"
