,id,time,geometry,Throttle Position.value,Throttle Position.unit,CO2.value,CO2.unit,GPS VDOP.value,GPS VDOP.unit,GPS Bearing.value,GPS Bearing.unit,GPS Speed.value,GPS Speed.unit,GPS Altitude.value,GPS Altitude.unit,Rpm.value,Rpm.unit,GPS Accuracy.value,GPS Accuracy.unit,GPS HDOP.value,GPS HDOP.unit,Intake Temperature.value,Intake Temperature.unit,Speed.value,Speed.unit,Intake Pressure.value,Intake Pressure.unit,Consumption.value,Consumption.unit,Calculated MAF.value,Calculated MAF.unit,Engine Load.value,Engine Load.unit,GPS PDOP.value,GPS PDOP.unit,track.id,track.length,track.begin,track.end,sensor.type,sensor.engineDisplacement,sensor.model,sensor.id,sensor.fuelType,sensor.constructionYear,sensor.manufacturer
0,5eb7582165b80c5d6be69f24,2020-05-09T21:10:46,POINT (7.651804248986446 51.95395646644701),16.0,%,6.060965,kg/h,1.0,precision,244.006986,deg,3.187257,km/h,111.0,m,1013.745,u/min,2.5,%,0.6,precision,39.000001,c,4.0,km/h,54.453013,kPa,2.579134,l/h,7.845941,g/s,47.23039,%,1.2,precision,5eb7582165b80c5d6be69f22,3.4112747685326172,2020-05-09T21:10:46Z,2020-05-09T21:19:46Z,car,1798,Caliber,58395f40e4b0a979d45bd61b,gasoline,2007,Dodge
1,5eb7582165b80c5d6be69f26,2020-05-09T21:10:51,POINT (7.651688214188641 51.953948811047),16.831018,%,7.64453,kg/h,1.0,precision,273.231882,deg,9.326851,km/h,112.0,m,1265.892895,u/min,2.5,%,0.6,precision,38.999999,c,9.574627,km/h,54.999999,kPa,3.252992,l/h,9.895871,g/s,45.723325,%,1.2,precision,5eb7582165b80c5d6be69f22,3.4112747685326172,2020-05-09T21:10:46Z,2020-05-09T21:19:46Z,car,1798,Caliber,58395f40e4b0a979d45bd61b,gasoline,2007,Dodge
2,5eb7582165b80c5d6be69f27,2020-05-09T21:10:56,POINT (7.651482504244623 51.95395440112109),16.846021,%,6.152178,kg/h,1.0,precision,273.377388,deg,10.269752,km/h,112.999997,m,1267.169849,u/min,2.5,%,0.6,precision,39.0,c,10.0,km/h,44.218391,kPa,2.617948,l/h,7.964017,g/s,36.447436,%,1.2,precision,5eb7582165b80c5d6be69f22,3.4112747685326172,2020-05-09T21:10:46Z,2020-05-09T21:19:46Z,car,1798,Caliber,58395f40e4b0a979d45bd61b,gasoline,2007,Dodge
3,5eb7582165b80c5d6be69f28,2020-05-09T21:11:01,POINT (7.651269219953312 51.95396783757189),17.000001,%,7.380207,kg/h,0.930191,precision,274.705621,deg,10.99414,km/h,111.657318,m,1404.528604,u/min,2.328657,%,0.530191,precision,39.000001,c,10.789362,km/h,47.857144,kPa,3.140513,l/h,9.553704,g/s,40.682353,%,1.0,precision,5eb7582165b80c5d6be69f22,3.4112747685326172,2020-05-09T21:10:46Z,2020-05-09T21:19:46Z,car,1798,Caliber,58395f40e4b0a979d45bd61b,gasoline,2007,Dodge
4,5eb7582165b80c5d6be69f29,2020-05-09T21:11:06,POINT (7.651009479108991 51.9539617740475),15.151858,%,3.983817,kg/h,1.0,precision,275.181028,deg,10.809805,km/h,110.399213,m,1282.400613,u/min,2.0,%,0.6,precision,39.0,c,10.022801,km/h,28.293355,kPa,1.695241,l/h,5.157065,g/s,21.956343,%,1.2,precision,5eb7582165b80c5d6be69f22,3.4112747685326172,2020-05-09T21:10:46Z,2020-05-09T21:19:46Z,car,1798,Caliber,58395f40e4b0a979d45bd61b,gasoline,2007,Dodge
5,5eb7582165b80c5d6be69f2a,2020-05-09T21:11:11,POINT (7.65085766595331 51.9539667659058),16.0,%,4.326933,kg/h,1.0,precision,272.860458,deg,1.173646,km/h,110.600213,m,895.645989,u/min,1.800107,%,0.6,precision,39.000001,c,0.0,km/h,44.0,kPa,1.841248,l/h,5.601231,g/s,36.749248,%,1.0,precision,5eb7582165b80c5d6be69f22,3.4112747685326172,2020-05-09T21:10:46Z,2020-05-09T21:19:46Z,car,1798,Caliber,58395f40e4b0a979d45bd61b,gasoline,2007,Dodge
6,5eb7582165b80c5d6be69f2b,2020-05-09T21:11:16,POINT (7.650798018613367 51.9539695101202),16.0,%,4.943098,kg/h,0.8,precision,313.303598,deg,5.89439,km/h,110.0,m,887.825229,u/min,2.260956,%,0.6,precision,39.000001,c,6.751603,km/h,50.70848,kPa,2.103446,l/h,6.398858,g/s,42.608195,%,1.097482,precision,5eb7582165b80c5d6be69f22,3.4112747685326172,2020-05-09T21:10:46Z,2020-05-09T21:19:46Z,car,1798,Caliber,58395f40e4b0a979d45bd61b,gasoline,2007,Dodge
7,5eb7582165b80c5d6be69f2c,2020-05-09T21:11:22,POINT (7.650789130372044 51.95406331299682),16.06357,%,7.766667,kg/h,1.01579,precision,5.510048,deg,11.999023,km/h,110.464115,m,1594.952327,u/min,2.5,%,0.707895,precision,38.000001,c,12.709923,km/h,44.208145,kPa,3.304965,l/h,10.053978,g/s,31.964974,%,1.21579,precision,5eb7582165b80c5d6be69f22,3.4112747685326172,2020-05-09T21:10:46Z,2020-05-09T21:19:46Z,car,1798,Caliber,58395f40e4b0a979d45bd61b,gasoline,2007,Dodge
8,5eb7582165b80c5d6be69f2d,2020-05-09T21:11:27,POINT (7.65082249062431 51.95424901747279),16.0,%,6.357919,kg/h,0.921132,precision,6.19799,deg,16.817607,km/h,109.000003,m,1202.511014,u/min,2.701005,%,0.6,precision,38.0,c,16.102564,km/h,47.999999,kPa,2.705497,l/h,8.230348,g/s,40.470589,%,1.0,precision,5eb7582165b80c5d6be69f22,3.4112747685326172,2020-05-09T21:10:46Z,2020-05-09T21:19:46Z,car,1798,Caliber,58395f40e4b0a979d45bd61b,gasoline,2007,Dodge
9,5eb7582165b80c5d6be69f2e,2020-05-09T21:11:32,POINT (7.650863241833907 51.95445505537268),16.0,%,5.08761,kg/h,1.0,precision,6.815591,deg,17.759223,km/h,110.614694,m,1282.999962,u/min,1.5,%,0.6,precision,38.000001,c,18.0,km/h,36.0,kPa,2.164941,l/h,6.58593,g/s,29.40691,%,1.2,precision,5eb7582165b80c5d6be69f22,3.4112747685326172,2020-05-09T21:10:46Z,2020-05-09T21:19:46Z,car,1798,Caliber,58395f40e4b0a979d45bd61b,gasoline,2007,Dodge
